R	B	G
144	165	194	
144	165	194	
144	165	194	
144	165	194	
144	165	194	
145	164	194	
145	164	194	
144	163	193	
143	162	192	
142	161	191	
142	161	191	
141	160	190	
141	160	190	
142	161	191	
143	162	192	
143	162	192	
141	160	190	
140	159	189	
140	159	189	
144	163	193	
147	166	196	
146	166	193	
146	168	192	
149	169	196	
149	171	195	
150	170	197	
148	170	194	
148	168	195	
146	168	192	
146	166	193	
147	169	193	
149	169	196	
150	172	196	
150	170	197	
147	169	193	
146	166	193	
143	164	191	
142	163	192	
140	164	192	
142	163	194	
142	166	194	
144	167	198	
142	167	197	
140	163	194	
137	162	193	
138	163	194	
137	164	194	
137	164	194	
134	163	195	
136	162	195	
133	162	194	
135	161	196	
135	161	194	
138	162	198	
137	161	195	
138	160	197	
137	160	194	
136	159	193	
136	159	191	
135	158	190	
137	157	190	
137	157	190	
137	156	188	
137	156	188	
140	159	189	
142	161	193	
144	163	193	
145	161	194	
143	160	190	
146	163	189	
146	164	188	
150	167	193	
157	175	199	
166	184	208	
171	189	213	
172	190	214	
170	188	210	
170	188	210	
176	194	214	
183	201	223	
188	206	226	
189	207	227	
188	207	224	
186	204	224	
185	203	223	
180	201	220	
178	199	218	
173	194	215	
170	191	212	
169	190	211	
171	192	213	
173	195	218	
175	197	220	
165	190	212	
151	175	199	
138	162	186	
137	161	185	
139	165	190	
139	165	188	
138	164	189	
136	164	188	
129	160	188	
129	160	189	
129	160	191	
130	161	192	
131	160	192	
132	161	193	
135	161	196	
135	161	194	
135	159	193	
134	159	190	
136	159	190	
140	164	190	
151	173	197	
160	182	205	
168	189	210	
172	193	214	
179	200	221	
177	198	219	
173	193	217	
168	188	212	
163	183	208	
157	179	203	
154	175	202	
152	173	200	
152	173	202	
155	176	205	
157	180	211	
158	181	212	
156	181	212	
154	179	210	
153	178	209	
152	177	208	
152	177	208	
149	174	205	
144	168	202	
140	166	199	
138	164	197	
134	163	195	
131	160	194	
128	158	192	
127	157	191	
123	156	189	
120	154	189	
118	152	187	
118	154	188	
120	156	190	
121	160	193	
125	161	193	
133	166	199	
131	162	193	
126	157	188	
123	154	185	
124	155	186	
126	157	188	
128	159	190	
129	160	191	
129	160	191	
129	160	191	
128	159	190	
128	159	190	
127	158	189	
127	158	189	
126	157	188	
124	157	188	
126	159	194	
123	157	192	
121	155	190	
118	152	187	
118	151	184	
120	153	186	
127	157	191	
131	161	195	
137	166	198	
146	172	205	
153	178	209	
151	176	207	
144	167	199	
139	162	194	
140	163	195	
141	167	200	
134	169	201	
126	167	199	
120	161	193	
111	154	188	
105	148	182	
99	143	178	
94	142	178	
92	142	179	
90	142	181	
90	143	183	
87	142	181	
81	139	179	
79	138	180	
76	137	181	
70	131	175	
60	123	166	
67	129	176	
64	126	175	
61	123	172	
61	123	172	
62	126	174	
63	127	175	
62	128	178	
62	128	178	
61	127	179	
61	128	180	
61	128	180	
59	129	180	
58	128	180	
56	126	178	
54	124	176	
51	123	173	
48	122	167	
46	123	165	
47	122	164	
46	121	163	
45	119	164	
45	118	163	
44	116	164	
43	115	163	
48	118	167	
45	115	164	
47	114	166	
50	117	169	
57	124	176	
63	129	181	
64	130	182	
63	129	181	
145	167	191	
145	167	191	
146	168	192	
146	168	192	
146	168	192	
147	169	193	
147	169	193	
147	169	193	
147	169	193	
148	170	194	
148	170	194	
148	170	194	
149	171	195	
149	171	195	
149	171	195	
150	172	196	
147	168	197	
147	168	197	
146	167	196	
145	166	195	
145	166	195	
145	166	195	
145	166	195	
145	166	195	
145	166	195	
145	166	195	
144	165	194	
144	165	194	
144	165	194	
144	165	194	
143	164	193	
143	164	193	
144	163	193	
144	163	193	
144	163	193	
143	162	192	
142	161	191	
141	160	190	
141	160	190	
140	159	189	
139	158	188	
141	160	190	
142	161	191	
140	159	189	
138	157	187	
140	160	187	
145	164	194	
150	170	197	
151	171	196	
152	172	196	
153	173	198	
154	174	198	
154	174	199	
153	173	197	
152	172	197	
151	171	195	
151	171	196	
154	174	198	
157	177	202	
159	179	203	
159	179	204	
156	176	200	
152	172	197	
149	169	194	
143	163	190	
141	162	189	
142	163	192	
144	165	194	
146	167	196	
144	168	196	
142	166	194	
140	163	194	
140	163	194	
139	164	194	
138	163	193	
137	164	194	
138	163	194	
136	163	193	
136	162	195	
137	162	193	
139	162	196	
139	162	194	
139	162	196	
138	161	193	
137	160	192	
139	160	191	
139	160	191	
138	159	190	
140	159	191	
139	158	188	
139	158	188	
140	159	189	
144	161	191	
145	162	190	
143	160	190	
142	159	187	
148	166	190	
152	170	192	
158	176	200	
167	185	207	
174	192	214	
177	195	217	
176	194	216	
175	193	213	
173	191	211	
177	195	215	
182	200	220	
187	206	223	
189	208	225	
188	207	224	
185	204	221	
183	202	219	
179	200	217	
176	197	216	
172	193	212	
169	190	209	
169	190	209	
171	192	213	
174	196	217	
177	199	220	
170	192	213	
154	179	201	
142	167	189	
139	164	186	
140	166	189	
139	165	188	
138	164	187	
137	163	188	
134	164	192	
133	164	193	
133	162	192	
133	162	192	
133	162	194	
136	163	193	
137	164	194	
138	165	195	
138	163	194	
137	162	192	
139	163	191	
144	168	194	
154	176	200	
162	184	207	
169	190	211	
172	193	214	
177	198	219	
175	196	217	
171	191	215	
166	186	210	
162	182	207	
158	178	203	
155	176	203	
154	175	202	
151	172	201	
151	175	203	
154	177	208	
154	177	208	
152	177	208	
151	176	207	
151	176	207	
152	177	208	
147	174	204	
144	171	201	
139	165	198	
133	162	194	
132	161	193	
130	161	192	
128	158	192	
124	157	190	
123	156	189	
120	155	187	
117	151	186	
116	150	185	
116	152	186	
120	156	190	
122	161	194	
127	163	197	
135	168	201	
132	163	194	
126	157	188	
123	154	185	
124	155	186	
127	158	189	
129	160	191	
130	161	192	
129	160	191	
129	160	191	
128	159	190	
128	159	190	
127	158	189	
126	157	188	
126	157	188	
123	156	187	
122	156	191	
121	155	190	
120	154	189	
119	153	188	
119	152	185	
123	156	189	
130	160	194	
134	164	198	
135	164	196	
140	169	201	
146	173	203	
145	170	201	
140	163	195	
135	158	190	
135	158	190	
134	163	195	
129	165	197	
122	165	197	
118	161	195	
111	156	189	
106	150	185	
101	147	183	
95	145	182	
91	143	182	
88	141	181	
87	142	183	
82	140	180	
77	136	178	
74	135	179	
73	136	179	
68	131	174	
60	123	167	
65	127	176	
62	124	173	
59	121	170	
59	121	170	
60	124	172	
62	126	174	
61	127	177	
60	128	177	
61	128	180	
59	129	180	
59	129	180	
57	129	179	
56	127	179	
54	125	177	
53	124	176	
51	125	174	
48	125	169	
47	124	166	
46	123	165	
45	122	164	
46	120	165	
45	119	164	
45	117	165	
45	117	165	
48	118	167	
47	117	166	
47	114	166	
50	116	168	
55	121	173	
63	126	177	
68	131	182	
71	133	184	
144	166	190	
144	166	190	
144	166	190	
145	167	191	
145	167	191	
145	167	191	
146	168	192	
146	168	192	
146	168	192	
147	169	193	
147	169	193	
147	169	193	
148	170	194	
148	170	194	
148	170	194	
149	171	195	
148	169	198	
147	168	197	
146	167	196	
145	166	195	
145	166	195	
145	166	195	
145	166	195	
146	167	196	
145	166	195	
145	166	195	
145	166	195	
144	165	194	
144	165	194	
143	164	193	
143	164	193	
143	164	193	
144	163	193	
144	163	193	
143	162	192	
143	162	192	
142	161	191	
141	160	190	
140	160	187	
140	160	187	
138	158	185	
140	160	187	
142	162	189	
141	161	188	
139	159	186	
141	161	186	
148	168	195	
154	174	199	
161	179	203	
162	180	202	
163	181	205	
163	181	203	
163	181	205	
161	179	201	
159	177	201	
158	176	198	
159	177	201	
160	178	200	
162	180	204	
163	181	203	
163	181	205	
161	179	201	
158	176	200	
157	175	199	
151	168	194	
146	166	191	
143	163	190	
142	162	189	
143	163	190	
144	165	192	
145	166	193	
145	166	195	
143	164	193	
141	165	193	
141	165	193	
139	164	194	
140	163	194	
138	163	193	
138	163	194	
138	163	193	
140	163	195	
142	163	194	
142	162	195	
142	163	194	
141	162	193	
142	161	191	
142	161	191	
142	161	191	
144	161	191	
143	160	188	
142	159	187	
143	160	188	
145	160	189	
145	161	187	
143	158	187	
141	157	183	
150	168	190	
157	175	195	
168	186	208	
176	194	214	
180	198	218	
180	198	218	
178	196	216	
177	196	213	
175	194	211	
177	196	213	
181	200	217	
186	205	220	
188	207	222	
188	207	222	
186	205	220	
184	203	218	
180	199	214	
177	196	213	
174	193	210	
171	190	207	
169	190	207	
172	193	212	
176	197	216	
177	200	218	
174	197	215	
162	184	205	
148	173	193	
145	170	190	
144	169	191	
142	167	189	
141	166	188	
140	166	189	
140	167	194	
137	167	195	
138	165	194	
137	164	193	
137	164	194	
138	163	193	
139	164	194	
140	165	195	
141	164	195	
140	164	192	
143	164	193	
147	168	195	
155	175	200	
163	183	207	
168	188	212	
170	190	214	
170	188	212	
169	187	211	
166	183	209	
163	180	206	
159	179	206	
158	178	205	
156	177	206	
156	177	206	
150	173	204	
151	174	205	
151	174	206	
148	173	204	
146	170	204	
145	169	203	
144	170	203	
146	172	205	
141	170	202	
137	166	198	
132	161	195	
128	158	192	
127	157	191	
126	156	190	
125	155	191	
122	155	190	
121	154	189	
118	152	187	
115	149	186	
113	149	185	
115	151	187	
120	156	192	
124	162	198	
130	166	202	
131	166	198	
130	163	194	
126	159	190	
125	158	189	
126	159	190	
127	160	191	
127	160	191	
126	159	190	
128	161	192	
128	161	192	
127	160	191	
126	159	190	
125	158	189	
124	157	188	
124	157	188	
123	156	187	
119	153	188	
118	154	188	
120	154	189	
120	154	189	
122	155	188	
126	159	192	
133	163	197	
137	167	201	
132	161	193	
134	163	195	
138	165	195	
137	164	194	
134	159	190	
131	156	187	
129	154	185	
126	155	187	
122	158	192	
116	159	193	
114	157	192	
110	154	189	
106	152	188	
99	147	183	
95	145	182	
90	142	181	
87	140	180	
87	142	183	
80	139	181	
73	134	178	
71	132	176	
71	134	178	
67	130	174	
60	124	170	
64	126	175	
61	123	174	
57	119	170	
57	119	170	
58	121	172	
61	124	175	
60	126	176	
60	128	177	
62	130	179	
59	129	178	
57	127	178	
55	127	177	
53	125	175	
52	126	175	
51	125	174	
49	126	172	
46	123	165	
46	124	163	
46	123	165	
46	123	165	
46	123	167	
46	123	167	
48	122	169	
49	121	169	
49	119	170	
48	118	169	
49	117	166	
49	115	165	
54	117	168	
61	123	172	
70	130	180	
76	136	186	
143	165	189	
143	165	189	
143	165	189	
144	166	190	
144	166	190	
144	166	190	
145	167	191	
145	167	191	
146	168	192	
146	168	192	
146	168	192	
147	169	193	
147	169	193	
147	169	193	
148	170	194	
148	170	194	
148	169	198	
147	168	197	
146	167	196	
145	166	195	
145	166	195	
145	166	195	
145	166	195	
146	167	196	
145	166	195	
145	166	195	
145	166	195	
144	165	194	
144	165	194	
143	164	193	
143	164	193	
143	164	193	
144	163	193	
144	163	193	
143	162	192	
142	161	191	
142	161	191	
141	160	190	
140	160	187	
140	160	187	
138	158	185	
141	161	188	
143	163	190	
142	162	187	
140	160	185	
143	163	188	
150	170	195	
157	177	201	
168	186	208	
168	186	208	
169	187	209	
169	187	209	
168	186	208	
166	184	206	
164	182	204	
162	180	202	
161	179	201	
161	179	201	
161	179	201	
161	179	201	
160	178	200	
160	178	200	
159	177	199	
159	177	199	
158	176	200	
153	170	196	
144	164	189	
140	160	185	
140	160	187	
143	163	190	
146	166	193	
147	168	195	
144	165	194	
144	165	194	
142	166	194	
141	165	193	
141	164	195	
140	163	194	
139	164	194	
140	163	194	
143	164	195	
143	164	195	
143	164	195	
143	164	195	
144	163	193	
144	163	193	
144	163	193	
144	163	193	
146	163	191	
144	161	189	
143	160	188	
144	161	189	
145	161	187	
144	160	186	
142	158	184	
140	156	181	
151	169	191	
161	179	199	
174	192	212	
182	200	220	
183	201	221	
181	199	219	
179	198	215	
179	198	215	
176	195	212	
177	196	211	
181	200	215	
185	204	219	
189	208	223	
189	208	223	
187	206	220	
185	204	218	
179	198	213	
177	196	211	
174	193	210	
172	191	208	
170	191	208	
173	194	211	
176	197	216	
178	199	218	
183	206	224	
172	195	213	
162	184	205	
156	181	201	
154	179	199	
150	175	195	
149	174	196	
151	175	199	
143	169	196	
141	168	197	
141	166	196	
139	165	192	
138	163	193	
139	165	192	
141	165	193	
141	165	191	
144	168	194	
142	166	192	
144	165	192	
147	169	193	
153	173	198	
159	179	203	
162	182	206	
164	184	208	
162	180	204	
161	178	204	
159	176	202	
158	175	201	
156	176	203	
157	177	204	
157	178	207	
156	180	208	
152	175	206	
150	175	206	
148	173	204	
145	169	203	
141	165	199	
138	164	197	
139	165	200	
139	168	202	
137	167	201	
131	164	197	
128	158	192	
123	156	189	
125	155	189	
123	156	189	
122	155	190	
120	154	189	
119	153	188	
117	151	188	
113	149	185	
112	148	184	
115	151	187	
120	155	193	
125	163	200	
131	167	203	
128	163	195	
128	161	192	
128	161	192	
129	162	193	
130	163	194	
129	162	193	
127	160	191	
124	157	188	
129	162	193	
128	161	192	
127	160	191	
127	160	191	
126	159	190	
125	158	189	
124	157	188	
123	158	188	
117	151	186	
117	153	187	
120	154	189	
121	155	190	
124	157	190	
128	161	194	
135	165	199	
139	169	203	
130	159	191	
130	159	191	
132	159	189	
132	159	189	
131	156	187	
128	153	184	
126	151	182	
121	150	182	
112	151	184	
110	153	187	
109	153	188	
106	152	186	
104	150	186	
97	147	182	
93	142	182	
87	141	179	
88	141	183	
85	143	183	
80	139	183	
72	133	177	
68	131	175	
69	132	176	
65	129	175	
61	125	171	
63	125	176	
60	122	173	
56	118	169	
55	117	168	
57	120	171	
60	123	174	
60	126	176	
59	127	176	
62	130	179	
58	128	177	
56	126	175	
53	125	173	
52	124	174	
50	124	171	
51	125	174	
51	125	172	
46	121	163	
46	121	161	
47	122	164	
47	124	166	
48	125	169	
49	126	170	
52	126	173	
54	126	174	
49	119	170	
51	118	170	
51	117	167	
50	114	162	
52	114	163	
59	120	167	
72	130	178	
82	138	185	
140	162	186	
141	163	187	
141	163	187	
142	164	188	
143	165	189	
144	166	190	
145	167	191	
146	168	192	
143	165	189	
144	166	190	
145	167	191	
146	168	192	
146	168	192	
146	168	192	
146	168	192	
146	168	192	
146	167	196	
147	168	197	
147	168	197	
147	168	197	
147	168	197	
146	167	196	
145	166	195	
144	165	194	
147	168	197	
146	167	196	
146	167	196	
145	166	195	
144	165	194	
143	164	193	
142	163	192	
142	163	192	
143	162	194	
142	161	193	
141	160	190	
141	160	190	
140	159	189	
140	159	189	
141	161	188	
141	161	188	
138	158	183	
140	160	185	
143	163	188	
145	165	189	
148	168	192	
152	172	196	
158	178	202	
162	183	204	
170	188	210	
171	188	208	
171	188	208	
171	188	208	
170	187	207	
169	186	206	
168	185	205	
167	184	204	
166	183	203	
166	183	203	
163	180	200	
158	175	195	
159	176	196	
163	180	200	
162	179	199	
158	174	197	
159	177	201	
151	169	193	
144	161	187	
144	161	187	
145	162	188	
142	162	187	
142	162	189	
145	165	192	
141	162	189	
141	162	189	
142	163	192	
142	163	192	
140	164	192	
139	163	191	
139	163	191	
138	162	190	
143	164	193	
142	163	192	
142	163	192	
142	163	192	
143	162	192	
144	163	193	
145	165	192	
146	166	193	
144	161	189	
142	159	187	
142	159	185	
143	160	186	
142	158	184	
140	156	182	
145	161	186	
153	169	194	
164	182	204	
170	188	208	
178	196	216	
185	203	223	
187	206	223	
185	204	221	
181	200	217	
178	197	214	
178	197	212	
179	198	213	
181	200	215	
185	204	218	
188	207	221	
189	208	222	
187	206	220	
185	204	218	
174	193	208	
176	195	210	
176	195	210	
174	193	208	
172	191	206	
173	192	207	
175	196	213	
179	200	217	
180	201	220	
172	195	213	
167	190	208	
166	189	207	
162	184	205	
156	178	199	
149	174	194	
150	175	197	
148	172	198	
147	173	200	
147	171	199	
146	170	196	
144	168	196	
142	166	192	
142	163	190	
141	163	187	
143	165	189	
140	162	186	
141	161	186	
145	165	190	
154	174	199	
162	182	207	
167	187	212	
169	189	214	
163	180	206	
160	177	205	
157	174	202	
156	173	201	
155	174	204	
156	175	205	
155	176	207	
152	175	206	
150	173	205	
149	174	205	
147	171	205	
142	168	203	
137	163	198	
132	161	195	
132	160	197	
131	161	197	
130	163	198	
125	159	194	
123	156	191	
120	154	189	
120	153	188	
119	153	188	
118	152	189	
116	152	188	
118	154	190	
116	151	189	
115	150	188	
116	151	189	
117	155	192	
121	159	198	
122	160	199	
124	159	197	
124	159	191	
124	157	188	
125	158	189	
126	159	190	
128	161	192	
127	160	191	
125	158	189	
122	155	186	
125	158	189	
127	160	191	
126	159	190	
124	157	188	
125	158	189	
129	162	193	
128	161	192	
123	158	188	
121	155	190	
115	151	185	
114	150	184	
119	155	189	
124	159	191	
125	160	192	
128	161	194	
131	164	197	
127	158	189	
126	157	188	
126	155	185	
126	155	185	
128	155	185	
127	154	184	
125	150	181	
121	150	182	
117	156	189	
110	153	187	
107	151	186	
107	153	187	
104	150	186	
94	144	179	
91	140	180	
90	144	182	
91	144	186	
85	143	183	
80	139	183	
75	136	180	
73	136	180	
71	134	178	
67	131	177	
65	129	175	
64	126	177	
63	125	176	
60	123	174	
58	121	172	
59	123	171	
60	124	172	
60	126	174	
61	129	176	
62	130	177	
59	130	176	
57	128	174	
54	127	172	
52	124	172	
50	123	168	
49	121	169	
48	121	166	
44	117	160	
46	119	160	
49	122	165	
50	125	167	
50	124	169	
50	124	171	
52	124	174	
53	125	175	
54	124	175	
53	120	172	
52	118	168	
54	116	165	
58	119	166	
68	124	171	
77	131	178	
82	136	182	
140	162	186	
141	163	187	
141	163	187	
142	164	188	
142	164	188	
143	165	189	
143	165	189	
144	166	190	
141	163	187	
142	164	188	
143	165	189	
144	166	190	
145	167	191	
144	166	190	
144	166	190	
144	166	190	
146	167	196	
146	167	196	
147	168	197	
147	168	197	
146	167	196	
145	166	195	
144	165	194	
144	165	194	
144	165	194	
144	165	194	
143	164	193	
142	163	192	
142	163	192	
141	162	191	
140	161	190	
140	161	190	
140	159	191	
140	159	191	
139	158	188	
139	158	188	
140	159	189	
140	159	189	
141	161	188	
142	162	189	
137	157	182	
141	161	185	
146	166	190	
150	170	194	
154	174	198	
159	180	201	
164	185	206	
168	189	210	
172	190	210	
173	190	210	
174	191	211	
173	190	210	
172	189	209	
171	188	208	
170	187	207	
169	186	206	
169	186	206	
169	186	206	
166	183	203	
161	178	198	
161	178	198	
164	181	201	
163	180	200	
159	175	198	
157	175	199	
149	167	191	
143	160	186	
144	161	187	
144	161	187	
139	159	184	
139	159	186	
140	160	187	
140	161	188	
140	161	188	
140	161	190	
141	162	191	
139	163	191	
138	162	190	
138	162	190	
138	162	190	
145	166	195	
145	166	195	
144	165	194	
144	165	194	
145	166	195	
146	165	195	
147	167	194	
148	168	195	
145	162	190	
144	161	189	
144	161	187	
145	162	188	
144	160	186	
143	159	185	
149	165	190	
157	173	198	
172	190	212	
177	195	215	
182	200	220	
187	205	225	
188	207	224	
188	207	224	
187	206	223	
187	206	223	
183	202	217	
183	202	217	
184	203	218	
186	205	219	
187	206	220	
187	206	220	
184	203	217	
181	200	214	
175	194	209	
176	195	210	
175	194	209	
173	192	207	
170	189	204	
170	189	204	
172	193	210	
175	196	213	
178	199	218	
174	195	214	
171	194	212	
172	195	213	
169	191	212	
160	182	203	
150	175	195	
147	172	194	
151	175	201	
150	174	200	
151	172	199	
149	170	197	
146	168	192	
143	165	189	
141	163	187	
139	161	184	
140	162	185	
139	161	184	
141	161	185	
147	167	191	
155	175	200	
162	182	207	
166	186	211	
167	187	212	
161	178	206	
158	175	203	
155	172	200	
152	172	199	
153	172	202	
152	173	202	
150	173	204	
148	173	204	
145	170	201	
143	169	202	
142	168	203	
136	165	199	
130	160	194	
127	157	193	
125	158	193	
126	159	194	
127	161	196	
123	159	193	
121	155	190	
118	154	188	
119	153	188	
118	154	190	
117	153	189	
115	151	187	
116	151	189	
114	149	187	
113	148	186	
115	150	188	
116	154	193	
119	157	196	
120	158	197	
122	157	195	
119	154	186	
122	155	186	
123	156	187	
124	157	188	
124	157	188	
123	156	187	
122	155	186	
122	155	186	
126	159	190	
127	160	191	
126	159	190	
124	157	188	
126	159	190	
129	162	193	
128	161	192	
123	158	188	
123	159	193	
116	152	186	
112	148	182	
114	150	184	
118	153	185	
119	154	186	
123	156	189	
127	160	193	
132	163	194	
129	160	191	
125	154	184	
122	151	181	
122	149	179	
122	149	179	
123	148	179	
119	148	180	
119	158	191	
112	155	189	
109	152	187	
108	152	187	
102	148	184	
93	141	177	
89	139	176	
88	140	179	
91	144	184	
87	142	183	
80	139	181	
76	137	181	
74	135	179	
72	135	179	
69	132	176	
66	130	176	
64	126	175	
63	125	174	
60	123	174	
59	123	171	
59	123	171	
60	124	172	
60	126	174	
61	128	173	
62	129	174	
61	129	174	
60	128	173	
58	126	171	
54	125	169	
52	123	167	
50	121	165	
49	120	164	
49	118	160	
51	120	162	
53	121	166	
53	124	168	
52	124	172	
52	124	172	
53	125	175	
54	124	175	
53	123	174	
54	122	171	
57	120	171	
59	121	168	
68	124	171	
76	130	176	
84	136	183	
88	141	185	
141	163	187	
141	163	187	
141	163	187	
142	164	188	
142	164	188	
142	164	188	
142	164	188	
142	164	188	
140	162	186	
141	163	187	
142	164	188	
143	165	189	
143	165	189	
143	165	189	
142	164	188	
142	164	188	
145	166	195	
145	166	195	
146	167	196	
146	167	196	
145	166	195	
145	166	195	
144	165	194	
143	164	193	
141	162	191	
141	162	191	
141	162	191	
140	161	190	
139	160	189	
138	159	188	
138	159	188	
138	159	188	
138	157	189	
138	157	189	
137	156	188	
138	157	189	
138	157	187	
140	159	189	
141	161	188	
142	162	189	
138	158	183	
143	163	187	
150	170	194	
157	178	199	
162	183	204	
167	188	207	
172	193	212	
175	196	215	
175	193	215	
175	193	215	
175	193	215	
175	193	215	
174	192	214	
173	191	213	
171	189	211	
171	189	211	
171	189	211	
171	189	211	
168	186	208	
163	181	203	
163	181	203	
165	183	205	
164	182	204	
159	177	199	
154	172	196	
148	165	191	
142	162	187	
142	162	187	
141	161	188	
136	156	183	
134	154	181	
134	155	182	
138	159	188	
138	159	188	
136	160	188	
136	160	188	
136	159	190	
136	159	190	
136	159	190	
136	159	190	
143	166	197	
142	165	196	
142	165	196	
142	165	196	
142	166	194	
145	166	195	
146	167	196	
147	168	197	
145	165	192	
143	163	190	
143	163	190	
145	165	192	
146	163	189	
146	163	189	
153	170	196	
162	180	204	
179	197	219	
181	199	219	
184	202	222	
186	204	224	
187	205	225	
188	206	226	
191	210	227	
193	212	229	
189	208	225	
187	206	221	
186	205	220	
186	205	220	
186	205	219	
184	203	217	
180	199	213	
176	195	209	
177	194	210	
176	193	209	
174	191	209	
171	188	206	
167	186	203	
167	186	203	
169	187	207	
171	189	209	
174	195	214	
173	194	213	
175	196	217	
179	200	221	
175	197	218	
163	185	206	
152	174	195	
147	169	192	
149	171	195	
149	170	197	
149	169	196	
147	167	192	
145	165	189	
143	164	185	
141	162	183	
140	161	182	
141	162	183	
142	163	184	
145	166	187	
151	171	195	
159	179	204	
164	184	209	
166	186	213	
167	187	214	
158	177	207	
155	174	204	
151	170	200	
148	169	198	
148	169	200	
146	169	200	
144	169	200	
142	169	199	
138	167	199	
137	167	201	
135	165	199	
129	162	197	
124	158	193	
122	156	193	
121	155	192	
121	157	193	
124	160	196	
119	157	193	
118	154	190	
115	153	189	
117	153	189	
115	153	190	
113	151	188	
112	150	187	
112	150	189	
110	148	187	
109	147	186	
111	149	188	
114	151	193	
117	154	196	
117	154	196	
119	154	192	
116	151	183	
119	154	184	
123	158	188	
123	158	188	
120	155	185	
119	154	184	
121	156	186	
124	159	189	
126	161	191	
127	162	192	
126	161	191	
124	159	189	
125	160	190	
129	164	194	
128	163	193	
123	158	188	
124	160	194	
114	153	186	
108	147	180	
108	147	180	
111	147	179	
113	148	180	
117	150	183	
122	155	188	
138	169	200	
134	165	196	
128	157	187	
122	151	181	
120	147	177	
120	147	177	
122	149	179	
120	151	182	
120	156	188	
111	154	186	
108	151	185	
106	151	184	
103	147	182	
95	141	177	
89	139	176	
89	141	180	
91	144	184	
87	142	183	
81	139	179	
78	137	179	
75	136	180	
72	135	178	
70	133	176	
68	131	175	
63	127	173	
62	126	172	
61	125	173	
59	123	169	
59	123	169	
60	124	170	
62	126	172	
63	127	171	
62	126	170	
59	126	169	
58	125	168	
57	124	167	
56	123	165	
55	122	164	
54	121	163	
55	120	162	
59	122	165	
59	122	166	
59	123	169	
57	124	169	
57	125	174	
57	125	174	
57	124	176	
57	124	177	
54	121	173	
55	121	171	
59	121	172	
62	123	170	
71	125	171	
78	131	175	
85	136	179	
89	140	183	
143	165	189	
143	165	189	
143	165	189	
143	165	189	
143	165	189	
143	165	189	
142	164	188	
142	164	188	
142	164	188	
142	164	188	
143	165	189	
144	166	190	
144	166	190	
143	165	189	
143	165	189	
142	164	188	
144	165	194	
144	165	194	
145	166	195	
145	166	195	
144	165	194	
143	164	193	
142	163	192	
142	163	192	
140	161	190	
140	161	190	
139	160	189	
139	160	189	
138	159	188	
138	159	188	
137	158	187	
137	158	187	
138	157	189	
138	157	189	
137	156	188	
137	156	188	
138	157	187	
139	158	188	
140	160	187	
140	160	185	
141	161	185	
147	167	191	
155	176	197	
163	184	203	
168	189	208	
171	192	211	
175	196	215	
177	198	217	
176	194	216	
176	194	216	
176	194	216	
176	194	216	
175	193	215	
174	192	214	
172	190	212	
172	190	212	
172	190	212	
173	191	213	
170	188	210	
165	183	205	
164	182	204	
166	184	206	
163	181	203	
158	176	200	
153	170	196	
147	167	192	
145	165	190	
145	165	190	
142	162	189	
135	156	183	
131	152	179	
132	153	180	
138	159	188	
135	159	187	
135	159	187	
134	157	188	
134	157	188	
134	157	188	
134	157	188	
133	158	188	
139	162	193	
137	162	192	
138	161	192	
138	161	192	
138	161	192	
139	163	191	
140	164	192	
143	164	193	
144	165	194	
143	163	190	
143	163	190	
145	165	192	
145	165	192	
146	166	191	
156	173	199	
166	183	209	
177	195	217	
180	198	218	
183	201	221	
184	202	222	
183	201	221	
184	202	222	
188	206	226	
192	211	228	
191	210	227	
189	208	225	
187	206	223	
185	204	219	
184	203	218	
182	201	215	
178	197	211	
174	193	208	
177	194	210	
175	192	210	
172	189	207	
168	185	203	
164	183	200	
163	182	199	
164	182	202	
165	183	203	
170	191	210	
169	190	209	
172	193	214	
177	198	219	
174	196	217	
163	185	206	
152	174	195	
147	169	192	
141	161	186	
142	162	187	
145	162	188	
143	163	187	
145	163	185	
143	164	183	
142	163	182	
142	163	182	
144	165	184	
147	168	187	
152	173	194	
158	179	200	
164	184	209	
166	186	211	
167	187	214	
167	187	214	
158	177	207	
153	174	203	
149	170	199	
145	169	197	
144	167	198	
142	167	197	
139	166	196	
136	165	197	
134	164	198	
132	165	198	
131	164	199	
127	161	196	
122	158	194	
118	156	192	
118	156	192	
119	157	193	
119	157	193	
117	155	191	
114	152	188	
114	152	188	
114	152	189	
113	151	188	
112	150	187	
110	148	185	
109	147	186	
108	146	185	
107	145	184	
109	147	186	
112	149	191	
114	151	193	
114	151	193	
113	151	190	
115	149	184	
120	155	185	
124	159	189	
124	159	189	
120	155	185	
120	155	185	
124	159	189	
128	163	193	
127	162	192	
128	163	193	
127	162	192	
124	159	189	
125	160	190	
129	164	194	
127	162	192	
122	159	188	
123	159	193	
114	153	186	
109	148	181	
109	148	181	
112	148	180	
112	148	180	
115	150	182	
119	152	185	
138	169	200	
136	167	198	
133	162	192	
127	156	186	
125	152	182	
124	151	181	
126	153	183	
125	156	187	
115	151	183	
108	149	181	
107	148	180	
106	149	183	
104	147	181	
98	142	177	
94	142	178	
96	146	183	
91	143	182	
87	140	180	
82	137	176	
78	136	176	
76	135	177	
73	134	178	
70	131	175	
67	130	173	
64	128	172	
63	127	173	
62	126	172	
61	125	169	
61	125	171	
61	125	169	
62	126	170	
62	127	169	
59	122	165	
58	121	162	
